uniqueID,sentenceType,isOrig,sentence,contentWords,focusWordsM1,focusWordsM2,funniness,ambiguity,disjointedness
193,nonpun,0,The #caller on the phone is from your bank.,caller;bank;phone,caller;bank;phone,,-0.549920934,0.039686038,2.447295419
194,nonpun,0,That ship is made of wood and #steel.,steel;made;ship;wood,steel;made;ship;wood,,-0.816320452,0.01275205,1.472648107
195,nonpun,0,He is very scared that he will #die of a heart attack. ,die;attack;heart;scared;very,die;attack;heart;scared,,-0.701418837,0.001627646,2.60457815
196,nonpun,0,Dealing with him is a #waste of time.,waste;dealing;time,waste;time,,-0.478259045,0.028763692,1.28423781
197,nonpun,0,Passing that exam without studying was a real #feat!,feat;exam;passing;real;studying,feat,,-0.279133275,0.693117007,0.962988263
198,nonpun,0,We #allowed our son to use the family car.,allowed;car;family;son;use,allowed;use,,-0.683086216,0.021958912,1.15410035
199,nonpun,0,She looks #pale and sick.,pale;looks;sick,pale;looks;sick,sick,-0.724466457,0.015484895,1.301433942
200,nonpun,0,There was all #manner of food at the party.,manner;food;party,manner;food,food,-0.508418795,0.14675406,0.927304465
201,nonpun,0,She bought stocks for ten years and then #cashed in her chips.,cash;bought;chips;stocks;ten;years,cash;bought;chips;stocks;ten,,-0.316755813,0.060412188,3.167896955
202,nonpun,0,#Rain fell on the city last night.,rain;city;fell;night,rain;city;fell,city,-0.481383555,0.03615086,1.092796943
203,nonpun,0,We have #time to have lunch before the meeting.,time;lunch;meeting,time;lunch;meeting,,-0.529309294,0.000103932,1.945523952
204,nonpun,0,That family is so #poor they cannot afford to buy food.,poor;afford;buy;cannot;family;food,poor;afford;buy;cannot;family,,-0.537912493,0.000527588,1.889158244
205,nonpun,0,A jury decides the #guilt or innocence of an accused person.,guilt;accused;decides;innocence;jury;person,guilt;accused;innocence;jury;person,,-0.598788105,0.001294974,2.692327807
206,nonpun,0,It is better to #err on the side of being too safe.,err;being;better;safe;side,err,,-0.43842232,0.160169398,0.942473858
207,nonpun,0,The #sun rises every morning and sets every evening.,sun;evening;morning;rises;sets,sun;evening;morning;rises;sets,,-0.724466457,0.00038092,4.231683722
208,nonpun,0,The ship is in the mid-atlantic on the high #seas.,seas;high;mid-atlantic;ship,seas;high;mid-atlantic;ship,,-0.430688967,1.94467E-06,3.533275301
209,nonpun,0,The teacher told the students #what to do.,what;students;teacher;told,what,,-0.549920934,0.004865541,0.99979553
210,nonpun,0,That girl organized a fund #raiser at her local church.,raiser;church;fund;girl;local;organized,raiser;fund,,-0.619153218,0.280201217,1.750079724
211,nonpun,0,Let's do this at but #not that.,not;let's,not,,-0.549920934,0.001147578,0.944915901
212,nonpun,0,Her father #would not let her go to the party.,would;father;go;let;not;party,would;let;not,,-0.751501589,0.006307968,1.46113055
213,nonpun,0,The cheese #grater slices the cheese.,grater;cheese;cheese;slices,grater;cheese;cheese;slices,cheese;cheese,-0.537709317,0.060012707,2.104178314
214,nonpun,0,#I don't know the answer.,i;answer;know,i;know,,-0.537912493,0.007108991,1.055404265
215,nonpun,0,I must #sell my car for a good price.,sell;car;good;price,sell;car;good;price,,-0.531638371,0.013951156,2.267400643
216,nonpun,0,He is so stingy that he would not even let me borrow a #cent.,cent;borrow;even;let;not;stingy,cent;borrow;stingy,,-0.52197268,0.005841566,1.742748127
217,nonpun,0,You have very #coarse hair.,coarse;hair;very,coarse;hair,,-0.610624523,0.610706958,1.137135114
218,nonpun,0,You're such a #dear friend.,dear;friend,dear;friend,,-0.442670104,0.057832342,1.700240234
219,nonpun,0,I will #be okay; don't worry.,be;okay;worry,be,,-0.440726864,0.002775328,0.95375885
220,nonpun,0,#Break a leg on your performance.,break;leg;performance,break;leg;performance,performance,-0.088060548,0.062193606,1.377190011
221,nonpun,0,I picked some pretty #flowers that were growing among weeds.,flower;among;growing;picked;pretty;weeds,flower;growing;picked;pretty;weeds,,-0.240292798,3.39655E-06,4.008264889
222,nonpun,0,The rules of this game are not #fair.,fair;game;not;rules,fair;game;not;rules,,-0.537912493,0.003626278,2.017599957
223,nonpun,0,It just takes time for wounds to #heal.,heal;just;takes;time;wounds,heal;time;wounds,,-0.536651619,0.039115406,2.123671959
224,nonpun,0,John likes Sarah but she doesn't like #him back.,him;back;john;like;likes;sarah,him;john,,-0.766636577,0.004880714,1.011400179
225,nonpun,0,He #knows almost every word in the dictionary.,knows;almost;dictionary;word,knows;dictionary;word,word,-0.637640044,1.84709E-08,1.434660978
226,nonpun,0,Come #in the room and close the door.,in;close;come;door;room,in;close;come;door;room,door;room,-0.620915285,0.003047018,2.017144694
227,nonpun,0,You're just sitting there doing nothing; don't be #idle.,idle;doing;just;sitting,idle;doing;just;sitting,,-0.328808938,0.052614624,1.519399098
228,nonpun,0,You #made that cake all by yourself?,made;cake,made;cake,,-0.819031098,0.004427424,1.363067617
229,nonpun,0,#None of it made any sense.,none;made;sense,none,,-0.45866472,0.008961715,0.995950386
230,nonpun,0,I woke up in the #morning and the sun was shining.,morning;shining;sun;up;woke,morning;shining;sun;up;woke,,-0.537912493,8.52815E-05,3.398625539
231,nonpun,0,The two pen pals were finally able to #meet.,meet;able;finally;pals;pen,meet;able;finally;pals,,-0.598788105,0.008912779,1.72509525
232,nonpun,0,That diamond is not #real; it is just a very good counterfeit. ,real;counterfeit;diamond;good;just;not;very,real;counterfeit;diamond;just;very,,-0.475063397,0.000134197,2.519995215
233,nonpun,0,I have a #pair of matching socks.,pair;matching;socks,pair;matching;socks,,-0.686697483,0.001879779,3.307866443
234,nonpun,0,That mouse could easily be the eagle's #prey.,prey;eagle's;easily;mouse,prey;eagle's;easily;mouse,eagle's,-0.499406276,0.069605714,1.843986079
235,nonpun,0,Take the faster #route on your way home.,route;faster;home;take;way,route;faster;home;take;way,,-0.440726864,0.011788799,2.540720861
